AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target
0.5,0.0,0.5,0.4692737430167598,0.5000000000000001,1,RF,morgan_count_no_chiral,@/@@_class
0.5,0.0,0.5,0.5128205128205128,0.5000000000000001,2,RF,morgan_count_no_chiral,@/@@_class
0.5,0.0,0.5,0.4864864864864865,0.5000000000000001,3,RF,morgan_count_no_chiral,@/@@_class
0.5,0.0,0.5,0.5410628019323671,0.5000000000000001,4,RF,morgan_count_no_chiral,@/@@_class
0.5,0.0,0.5,0.5226130653266332,0.5000000000000001,0,RF,morgan_count_no_chiral,F/L_class
0.5,0.0,0.5,0.4311377245508982,0.5000000000000001,1,RF,morgan_count_no_chiral,F/L_class
0.5,0.0,0.5,0.4919786096256685,0.5000000000000001,2,RF,morgan_count_no_chiral,F/L_class
0.5,0.0,0.5,0.4864864864864865,0.5000000000000001,3,RF,morgan_count_no_chiral,F/L_class
0.5,0.0,0.5,0.4508670520231214,0.5000000000000001,4,RF,morgan_count_no_chiral,F/L_class
0.9561218836565097,0.727532837268552,0.8578947368421053,0.8695652173913043,0.953358663540678,0,RF,morgan_delta_opp,R/S_class
0.9198337950138504,0.6132846549348298,0.8052631578947368,0.7955801104972375,0.9245220053854684,1,RF,morgan_delta_opp,R/S_class
0.9621052631578947,0.8036143754318459,0.9,0.8950276243093923,0.9546473042693631,2,RF,morgan_delta_opp,R/S_class
0.8844321329639889,0.531313927552782,0.7631578947368421,0.7783251231527094,0.887603043024842,3,RF,morgan_delta_opp,R/S_class
0.9603324099722992,0.765092055676006,0.8789473684210526,0.8700564971751412,0.956129069815362,4,RF,morgan_delta_opp,R/S_class
0.7997783933518006,0.4450990985692622,0.7210526315789474,0.736318407960199,0.8089943852862918,0,RF,morgan_delta_opp,@/@@_class
0.7818282548476454,0.37139590363795033,0.6842105263157895,0.6629213483146067,0.7906127668298565,1,RF,morgan_delta_opp,@/@@_class
0.7412188365650969,0.3077280344428731,0.6526315789473685,0.6732673267326733,0.7501127891342292,2,RF,morgan_delta_opp,@/@@_class
0.7971191135734073,0.38065944099403226,0.6894736842105263,0.7035175879396985,0.8077070448962012,3,RF,morgan_delta_opp,@/@@_class
0.747590027700831,0.363766418634276,0.6789473684210526,0.7053140096618358,0.7276360208392207,4,RF,morgan_delta_opp,@/@@_class
0.8526315789473684,0.5232642267732821,0.7578947368421053,0.735632183908046,0.8528504824470785,0,RF,morgan_delta_opp,F/L_class
