AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,fp_size
0.9800356864027597,0.9809006632942361,0.8309395184666687,0.9154686601495112,0.9155657668006892,0.5,0.728873080422061,0.8484761357101782,0.822499157965645,0.5318902476631938,2,RF,morgan_count_chiral,F/L_class,train,2048
0.8317451523545706,0.8433672041575948,0.47368421052631576,0.7368421052631579,0.7368421052631579,0.5,0.5168318452957714,0.7368421052631579,0.6710526315789473,0.5318902476631938,2,RF,morgan_count_chiral,F/L_class,val,2048
0.8529639889196675,0.8591279742955343,0.5481281277625191,0.7736842105263158,0.7794871794871795,0.5,0.4899789435061114,0.7315789473684211,0.6792452830188679,0.5318902476631938,2,RF,morgan_count_chiral,F/L_class,test,2048
0.9800677618388945,0.9808256015258988,0.832669195603592,0.9163312248418631,0.916162489196197,0.5,0.8250027436224133,0.9100057504312824,0.9146906514036522,0.4890541357596993,3,RF,morgan_count_chiral,F/L_class,train,2048
0.7539612188365651,0.7480722075038599,0.3789683644799335,0.6894736842105263,0.6910994764397905,0.5,0.42640143271122083,0.7105263157894737,0.7317073170731707,0.4890541357596993,3,RF,morgan_count_chiral,F/L_class,val,2048
0.8119113573407202,0.8113337845384113,0.4108907018066591,0.7052631578947368,0.6989247311827957,0.5,0.4477215043467819,0.7210526315789474,0.7414634146341463,0.4890541357596993,3,RF,morgan_count_chiral,F/L_class,test,2048
0.9809333026026406,0.9812812381815146,0.8378400542601635,0.918918918918919,0.9190120620333142,0.5,0.6886454481388042,0.8228867165037378,0.7856645789839944,0.5423427770938195,4,RF,morgan_count_chiral,F/L_class,train,2048
0.8622714681440443,0.8759739120223603,0.5476415514324751,0.7736842105263158,0.7772020725388601,0.5,0.5627724537665066,0.7578947368421053,0.6973684210526315,0.5423427770938195,4,RF,morgan_count_chiral,F/L_class,val,2048
0.8522437673130194,0.8516059217634788,0.5373186100548619,0.7684210526315789,0.7634408602150538,0.5,0.4602765039559337,0.7,0.6013986013986014,0.5423427770938195,4,RF,morgan_count_chiral,F/L_class,test,2048
0.5,0.5,0.0,0.5,0.506946413382478,0.5,0.0,0.5,0.506946413382478,0.5,0,RF,morgan_count_no_chiral,R/S_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.5497630331753555,0.5,0.0,0.5,0.5497630331753555,0.5,0,RF,morgan_count_no_chiral,R/S_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.4692737430167598,0.5,0.0,0.5,0.4692737430167598,0.5,0,RF,morgan_count_no_chiral,R/S_class,test,2048
0.5,0.5,0.0,0.5,0.5024320457796853,0.5,0.0,0.5,0.5024320457796853,0.5,1,RF,morgan_count_no_chiral,R/S_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.5177664974619289,0.5,0.0,0.5,0.5177664974619289,0.5,1,RF,morgan_count_no_chiral,R/S_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.47513812154696133,0.5,0.0,0.5,0.47513812154696133,0.5,1,RF,morgan_count_no_chiral,R/S_class,test,2048
0.5,0.5,0.0,0.5,0.5004309106578569,0.5,0.0,0.5,0.5004309106578569,0.5,2,RF,morgan_count_no_chiral,R/S_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.4444444444444444,0.5,0.0,0.5,0.4444444444444444,0.5,2,RF,morgan_count_no_chiral,R/S_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.4864864864864865,0.5,0.0,0.5,0.4864864864864865,0.5,2,RF,morgan_count_no_chiral,R/S_class,test,2048
0.5,0.5,0.0,0.5,0.49047758570172867,0.5,0.0,0.5,0.49047758570172867,0.5,3,RF,morgan_count_no_chiral,R/S_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.4508670520231214,0.5,0.0,0.5,0.4508670520231214,0.5,3,RF,morgan_count_no_chiral,R/S_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.5026178010471204,0.5,0.0,0.5,0.5026178010471204,0.5,3,RF,morgan_count_no_chiral,R/S_class,test,2048
0.49999999999999994,0.5,0.0,0.5,0.5018619306788886,0.5,0.0,0.5,0.5018619306788886,0.5,4,RF,morgan_count_no_chiral,R/S_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.4973544973544973,0.5,0.0,0.5,0.4973544973544973,0.5,4,RF,morgan_count_no_chiral,R/S_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.4864864864864865,0.5,0.0,0.5,0.4864864864864865,0.5,4,RF,morgan_count_no_chiral,R/S_class,test,2048
0.5,0.5,0.0,0.5,0.49696268440844665,0.5,0.0,0.5,0.49696268440844665,0.5,0,RF,morgan_count_no_chiral,@/@@_class,train,2048
0.5,0.5000000000000001,0.0,0.5,0.4864864864864865,0.5,0.0,0.5,0.4864864864864865,0.5,0,RF,morgan_count_no_chiral,@/@@_class,val,2048
0.5,0.5000000000000001,0.0,0.5,0.4919786096256685,0.5,0.0,0.5,0.4919786096256685,0.5,0,RF,morgan_count_no_chiral,@/@@_class,test,2048
