AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.8260387811634349,0.5059644256269407,0.7526315789473684,0.745945945945946,0.8269620432659195,0,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,38
0.8383379501385041,0.5162472920134947,0.7578947368421053,0.7526881720430108,0.8422588034186618,0,chemprop,exp_2_cip_rs_singletask,@/@@_class,test,38
0.4893425230008984,-0.019569675065591756,0.4902242668200115,0.47898912724067,0.4979349345993517,1,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,50
0.850747922437673,0.6316139407998892,0.8157894736842105,0.8148148148148148,0.8431716852754269,1,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,50
0.8045429362880886,0.4000221625065965,0.7,0.6984126984126984,0.8085782868252398,1,chemprop,exp_2_cip_rs_singletask,@/@@_class,test,50
0.488648437016905,-0.019554987597880637,0.4902242668200115,0.4853410740203193,0.4991223308061904,2,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,50
0.8467590027700831,0.559010775439539,0.7789473684210526,0.7717391304347826,0.8561016887440343,2,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,50
0.7947922437673131,0.45273191846953814,0.7263157894736842,0.723404255319149,0.8075231882244018,2,chemprop,exp_2_cip_rs_singletask,@/@@_class,test,50
0.4972337416393061,-0.012651419474010975,0.4936745255894192,0.4958488405382193,0.5050613300955489,3,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,29
0.7802770083102493,0.33686076842660756,0.6684210526315789,0.6701570680628273,0.7840963902258039,3,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,29
0.8036565096952908,0.48423735461324835,0.7421052631578947,0.743455497382199,0.7903231696499236,3,chemprop,exp_2_cip_rs_singletask,@/@@_class,test,29
0.49967064809906747,0.02246846117658861,0.511213341000575,0.5256696428571429,0.4983736123368501,4,chemprop,exp_2_cip_rs_singletask,@/@@_class,train,44
0.8252631578947368,0.4576281140501057,0.7263157894736842,0.7450980392156863,0.8267509807171355,4,chemprop,exp_2_cip_rs_singletask,@/@@_class,val,44
0.8286980609418282,0.5270462766947299,0.7631578947368421,0.7692307692307693,0.8264926546286596,4,chemprop,exp_2_cip_rs_singletask,@/@@_class,test,44
0.5109200326309694,0.024298818535863506,0.5120759056929269,0.48372376026772135,0.5090599012853633,0,chemprop,exp_2_cip_rs_singletask,F/L_class,train,21
0.8218282548476454,0.5232642267732821,0.7578947368421053,0.735632183908046,0.80125832463614,0,chemprop,exp_2_cip_rs_singletask,F/L_class,val,21
0.7781717451523545,0.42505114204222555,0.7105263157894737,0.6892655367231638,0.7528488163530076,0,chemprop,exp_2_cip_rs_singletask,F/L_class,test,21
0.5182302559983546,0.017896650361747035,0.5089131684876366,0.5297356828193832,0.5146481627436893,1,chemprop,exp_2_cip_rs_singletask,F/L_class,train,34
0.848421052631579,0.5934654647590163,0.7947368421052632,0.8059701492537313,0.828406625824018,1,chemprop,exp_2_cip_rs_singletask,F/L_class,val,34
0.8582825484764544,0.6021388059356906,0.8,0.8080808080808081,0.8347928602640726,1,chemprop,exp_2_cip_rs_singletask,F/L_class,test,34
0.4970523666215737,-0.010375923816588547,0.49482461184588844,0.5118088357877189,0.5023083812317638,2,chemprop,exp_2_cip_rs_singletask,F/L_class,train,33
0.9281994459833796,0.6456924713104549,0.8210526315789474,0.83,0.9315358414120822,2,chemprop,exp_2_cip_rs_singletask,F/L_class,val,33
0.849972299168975,0.5398412465054624,0.7684210526315789,0.78,0.8483447956698801,2,chemprop,exp_2_cip_rs_singletask,F/L_class,test,33
0.4840563588560114,-0.020701829863859215,0.4896492236917769,0.490966446802409,0.4890263080457537,3,chemprop,exp_2_cip_rs_singletask,F/L_class,train,45
0.7945706371191136,0.48423735461324835,0.7421052631578947,0.7407407407407407,0.7971071986997318,3,chemprop,exp_2_cip_rs_singletask,F/L_class,val,45
