AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
0.9949030470914126,0.9948462616527591,0.9368421052631579,0.968421052631579,0.968421052631579,0.5,0.9368421052631579,0.968421052631579,0.968421052631579,0.40316933393478394,0,chemprop,exp_1_default_parity_multitask,@/@@_class,test,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8441583521294287,0.842532289368179,0.5256527804233833,0.7627947096032203,0.7646219686162625,0.5,0.5312417919809201,0.7648073605520413,0.7736579966795795,0.47719597816467285,0,chemprop,exp_1_default_parity_multitask,F/L_class,train,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7534626038781163,0.7404593080503543,0.3691580592525258,0.6842105263157895,0.6938775510204082,0.5,0.4477215043467819,0.7210526315789474,0.7414634146341463,0.47719597816467285,0,chemprop,exp_1_default_parity_multitask,F/L_class,val,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7467036011080331,0.7559722775330843,0.3583914681524163,0.6789473684210526,0.6871794871794872,0.5,0.3383639475502509,0.6684210526315789,0.6834170854271356,0.47719597816467285,0,chemprop,exp_1_default_parity_multitask,F/L_class,test,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9129862859323419,0.9154000709541124,0.6568909990213703,0.8280621046578494,0.8321167883211679,0.5,0.6604471384425169,0.8283496262219666,0.8370188370188371,0.4454425573348999,1,chemprop,exp_1_default_parity_multitask,R/S_class,train,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8801108033240997,0.8730888633768704,0.6132846549348298,0.8052631578947368,0.8140703517587939,0.5,0.6396021490668312,0.8157894736842105,0.8292682926829268,0.4454425573348999,1,chemprop,exp_1_default_parity_multitask,R/S_class,val,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8103047091412742,0.8185491133862656,0.4542450641269245,0.7263157894736842,0.7373737373737373,0.5,0.42640143271122083,0.7105263157894737,0.7317073170731707,0.4454425573348999,1,chemprop,exp_1_default_parity_multitask,R/S_class,test,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9965249406356426,0.9965339809443172,0.9384705404430937,0.9692351926394479,0.9692263445498993,0.5,0.9356254901122536,0.9677975848188615,0.9676674364896074,0.550682783126831,1,chemprop,exp_1_default_parity_multitask,@/@@_class,train,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.997229916897507,0.9973437428149916,0.9578947368421052,0.9789473684210527,0.9789473684210527,0.5,0.9581070832727435,0.9789473684210527,0.9787234042553191,0.550682783126831,1,chemprop,exp_1_default_parity_multitask,@/@@_class,val,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9985595567867036,0.9986316976420153,0.9684747092264967,0.9842105263157894,0.9841269841269841,0.5,0.9581070832727435,0.9789473684210527,0.9787234042553191,0.550682783126831,1,chemprop,exp_1_default_parity_multitask,@/@@_class,test,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.82500733270924,0.8266073712842383,0.4739242476515332,0.7360552041403106,0.7471074380165289,0.5,0.4680738786133486,0.727142035652674,0.7564793430844239,0.44085434079170227,1,chemprop,exp_1_default_parity_multitask,F/L_class,train,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7337396121883657,0.7413160370425949,0.3480633130095243,0.6736842105263158,0.6836734693877551,0.5,0.3937730283686956,0.6947368421052632,0.7156862745098039,0.44085434079170227,1,chemprop,exp_1_default_parity_multitask,F/L_class,val,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7152354570637119,0.7012617166753721,0.3391231227194379,0.6684210526315789,0.6865671641791045,0.5,0.347170429282197,0.6684210526315789,0.704225352112676,0.44085434079170227,1,chemprop,exp_1_default_parity_multitask,F/L_class,test,53,42,0.3728187382221222,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9125302856598663,0.9120555983480574,0.6670510213486264,0.8335250143760782,0.8333812949640288,0.5,0.6694087526123527,0.8346751006325475,0.8335745296671491,0.511378288269043,2,chemprop,exp_1_default_parity_multitask,R/S_class,train,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8541828254847645,0.8664703801430901,0.5789473684210527,0.7894736842105263,0.7894736842105263,0.5,0.5895063447465633,0.7947368421052632,0.7936507936507936,0.511378288269043,2,chemprop,exp_1_default_parity_multitask,R/S_class,val,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7529085872576177,0.7504314431146144,0.4105263157894737,0.7052631578947368,0.7052631578947368,0.5,0.4001995952775779,0.7,0.6951871657754011,0.511378288269043,2,chemprop,exp_1_default_parity_multitask,R/S_class,test,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9966003344442897,0.9966277741514333,0.9397896980863811,0.9698102357676825,0.969521044992743,0.5,0.918700401512525,0.9583093732029903,0.9596662030598053,0.1636701226234436,2,chemprop,exp_1_default_parity_multitask,@/@@_class,train,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9880332409972299,0.9887474976269957,0.8842595171198449,0.9421052631578948,0.9417989417989417,0.5,0.8955310167581031,0.9473684210526315,0.9484536082474226,0.1636701226234436,2,chemprop,exp_1_default_parity_multitask,@/@@_class,val,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9842659279778394,0.9850375423694512,0.8432740427115678,0.9210526315789473,0.918918918918919,0.5,0.8478078067985948,0.9210526315789473,0.9253731343283582,0.1636701226234436,2,chemprop,exp_1_default_parity_multitask,@/@@_class,test,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8449589153344061,0.8473891650135543,0.5290404652075312,0.7645198389879241,0.764722780810112,0.5,0.4743203747804005,0.721679125934445,0.763671875,0.3652421236038208,2,chemprop,exp_1_default_parity_multitask,F/L_class,train,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7123545706371192,0.711305341435155,0.3166502481905618,0.6578947368421053,0.6700507614213198,0.5,0.3633761873336319,0.6578947368421053,0.7257383966244726,0.3652421236038208,2,chemprop,exp_1_default_parity_multitask,F/L_class,val,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7802770083102493,0.7865464474841969,0.43167461993607126,0.7157894736842105,0.71875,0.5,0.3585685828003181,0.6578947368421053,0.723404255319149,0.3652421236038208,2,chemprop,exp_1_default_parity_multitask,F/L_class,test,53,42,0.4125160574913025,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8682595703015852,0.8687927404329245,0.5945970523264495,0.7972972972972973,0.7970054707745465,0.5,0.5898973071227048,0.7947096032202415,0.7904929577464789,0.5241161584854126,3,chemprop,exp_1_default_parity_multitask,R/S_class,train,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8296952908587257,0.8153087314748572,0.5473987486932372,0.7736842105263158,0.7724867724867724,0.5,0.5687046880260318,0.7842105263157895,0.7807486631016043,0.5241161584854126,3,chemprop,exp_1_default_parity_multitask,R/S_class,val,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.841551246537396,0.8456936915423908,0.473789217003005,0.7368421052631579,0.7395833333333334,0.5,0.4633890050582481,0.7315789473684211,0.7272727272727273,0.5241161584854126,3,chemprop,exp_1_default_parity_multitask,R/S_class,test,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9949601884316137,0.994940425287954,0.9239815046033781,0.9617596319723979,0.9623549391452024,0.5,0.913212101004479,0.9562967222541691,0.955477445811365,0.7082359790802002,3,chemprop,exp_1_default_parity_multitask,@/@@_class,train,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9919113573407203,0.9923525756488865,0.8854377448471462,0.9421052631578948,0.9435897435897436,0.5,0.9057148735229394,0.9526315789473684,0.9518716577540107,0.7082359790802002,3,chemprop,exp_1_default_parity_multitask,@/@@_class,val,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9801662049861495,0.9814481476303468,0.8543372228415597,0.9263157894736842,0.9285714285714286,0.5,0.852820590605409,0.9263157894736842,0.925531914893617,0.7082359790802002,3,chemprop,exp_1_default_parity_multitask,@/@@_class,test,39,28,0.4264899492263794,True,val_loss,10,75,10,1e-05,exp1_default_parity
